slno,qn,real_ans
1,what is the IFSC code and address of Allahabad Bank," IFSC Code: ALLA0888888, Address: Allahabad Bank, 3rd Floor, Allahabad Bank Building,
37, Mumbai Samachar Marg, Fort ,Mumbai -23"
2,what is the branch name of UTI Bank,Branch name is not mentioned
3,tell me about Bank of Tokyo Mitsubishi Ltd.,"IFSC: BOTM0003611, Branch Name: Mumbai, Address: 3, JEEVAN VIHAR BUILDING, PARLIAMENT STREET, NEW DELHI- 110001"
4,"tell the name of bank having branch in 'Star House, 8th floor, C-5, G Block, Bandra Kurla Complex, Bandra East, Mumbai 400 051'.",Bank of India
5,name the bank having IFSC code PUNB0244200 and branch name Nehru Centre,"No bank has IFSC code PUNB0244200 and branch name Nehru Centre, the IFSC code belongs to Punjab National Bank and Branch Name to Yes Bank"
6,"Which bank operates in the Information Technology Department, Marol",IDBI Bank
7,Is Axis Bank listed in RTGS document?,No
8,Which all Global ESG Benchmarks were taken for evaluating axis bank?,"S&P ESG Score, FTSE4Good Index , MSCI ESG Ratings, CDP Score, CRISIL ESG Ratings, Sustainalytics, Nifty100 ESG Sector Leaders, S&P BSE 100 ESG Index, MSCI India ESG Leaders, S&P BSE CARBONEX Index"
9,Name the subsidiaries of axis bank?,"Axis Mutual Fund, Axis Capital, Axis Finance, Axis Securities, Axis Trustee, Freecharge, ATREDS, Axis Max Life Insurance"
10,which bank won the digital cx awards 2024?,"Axis Bank (expected ans is I don't know, as the answer is in an image)"
11,what was the percentage growth of q2fy26 and q2fy25 for axis bank? (give a single answer),2.00%
12,what was the axis bank total income for q2fy25?,"37,142 crores"
13,give the axis bank investment figure as on 30th september 2025,44131
14,who is Usha Janakiraman?,"Executive Director, Reserve Bank of India"
15,what is the address of Indian Institute Of Banking & Finance,"Kohinoor City, Commercial-II, Tower-I, 2nd Floor, Kirol Road, Kurla (W), Mumbai - 400 070"
16,who is Biswa Ketan Das,"Biswa Ketan Das is the Editor, Printer and Publisher of the document Vision December 2025, on behalf of Indian Institute of Banking & Finance."
17,We maintain a ____ bias towards the Indian equity markets. Fill in the blanks,positive
18,What fee increase impacted the IT sector?,visa fee
19,"With ongoing global policy uncertainty, tariff risks, and uneven earnings what happened to large and small caps evaluations?",large cap remained resilient and small cap elevated
20,What is the CAGR returns of Motilal Oswal Nifty 500 Index Fund for 2nd and 3rd year?,14.57% and 15.22% respectively
21,What were the CAGR returns of Aggressive Hybrid Funds (axis)?,"1 Year: -3.06, 2 Years: 12.01, 3 Years: 10.56"
22,comment about inflation rate,"India's CPI inflation rose to 2.07% YoY, Core inflation held steady at 4.21%, on the wholesale side WPI inflation rose to 0.52%"
23,What shaped domestic debt markets?,"GST rationalization, resilient GDP growth, and S&P's upgrade of India's sovereign rating from BBB- to BBB"
24,comment on indian bond market,"The bond market is expected to remain in a consolidation phase, with limited room for further easing making carry-focused strategies more attractive than duration plays; the 10-year yield is likely to trade between 6.20%-6.70%, while 1-5-year yield curve offer better risk-reward, and the medium-term outlook remains stable, depending on inflation, fiscal signals, and global
Factors."
25,full form of DIFC,Dubai International Financial Centre
